date,Account,daily_pnl,num_trades,winning_trades,losing_trades,win_rate,avg_trade_size_usd,total_volume_usd,long_trades,short_trades,long_pct,sentiment_score,sentiment_class,sentiment_class_lag1,sentiment_score_lag1,sentiment_transition,is_transition_day,rolling_3d_pnl,num_trades_lag1,win_rate_lag1,avg_trade_size_usd_lag1,long_pct_lag1,total_volume_usd_lag1
2025-02-19,0x39cef799f8b69da1995852eea189df24eb5cae3c,-20526.462526,3445,1100.0,590.0,0.650887573964497,4800.430827285922,16537484.2,1589.0,1856.0,0.4612481857764877,44,Fear,Neutral,47.0,Neutral -> Fear,True,14456.919336000003,144.0,0.987012987012987,4554.800138888889,0.4097222222222222,655891.22
2024-10-27,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,7612.618288,191,79.0,0.0,1.0,2786.4265445026176,532207.47,112.0,79.0,0.5863874345549738,74,Greed,Greed,72.0,Greed -> Greed,False,7612.618288,,,,,
2025-02-19,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,45883.628955,141,79.0,0.0,1.0,4338.219787234042,611688.99,58.0,83.0,0.41134751773049644,44,Fear,Neutral,47.0,Neutral -> Fear,True,53496.247243,191.0,1.0,2786.4265445026176,0.5863874345549738,532207.47
2024-10-27,0x420ab45e0bd8863569a5efbb9c05d91f40624641,16102.56859,125,27.0,0.0,1.0,6480.62816,810078.52,18.0,107.0,0.144,74,Greed,Greed,72.0,Greed -> Greed,False,16102.56859,,,,,
2025-02-19,0x420ab45e0bd8863569a5efbb9c05d91f40624641,183403.024142,258,63.0,0.0,1.0,4563.756162790698,1177449.09,83.0,175.0,0.32170542635658916,44,Fear,Neutral,47.0,Neutral -> Fear,True,199505.59273200002,125.0,1.0,6480.62816,0.144,810078.52
2024-03-09,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,88,0.0,0.0,0.0,1136.3127272727272,99995.52,88.0,0.0,1.0,84,Extreme Greed,Extreme Greed,81.0,Extreme Greed -> Extreme Greed,False,0.0,,,,,
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,145563.448374,249,237.0,0.0,1.0,1759.9534939759035,438228.42,3.0,246.0,0.012048192771084338,50,Neutral,Neutral,51.0,Neutral -> Neutral,False,145563.448374,88.0,0.0,1136.3127272727272,1.0,99995.52
2024-10-27,0x430f09841d65beb3f27765503d0f850b8bce7713,160450.518105,43,38.0,0.0,1.0,6742.71976744186,289936.95,0.0,43.0,0.0,74,Greed,Greed,72.0,Greed -> Greed,False,306013.966479,249.0,1.0,1759.9534939759035,0.012048192771084338,438228.42
2025-02-19,0x430f09841d65beb3f27765503d0f850b8bce7713,110527.905862,671,324.0,0.0,1.0,2807.6623994038746,1883941.47,211.0,460.0,0.3144560357675112,44,Fear,Neutral,47.0,Neutral -> Fear,True,416541.872341,43.0,1.0,6742.71976744186,0.0,289936.95
2024-10-27,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,69282.42904,3711,1255.0,214.0,0.8543226684819605,494.23683912691996,1834112.91,1738.0,1973.0,0.46833737537052006,74,Greed,Greed,72.0,Greed -> Greed,False,69282.42904,,,,,
2025-02-19,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,32683.214094,4629,1692.0,425.0,0.7992442135096836,541.9522812702527,2508697.11,2270.0,2359.0,0.49038669259019224,44,Fear,Neutral,47.0,Neutral -> Fear,True,101965.643134,3711.0,0.8543226684819605,494.23683912691996,0.46833737537052006,1834112.91
2024-10-27,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,61076.167808,328,135.0,9.0,0.9375,8444.161189024391,2769684.87,183.0,145.0,0.5579268292682927,74,Greed,Greed,72.0,Greed -> Greed,False,61076.167808,,,,,
2025-02-19,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,613327.827224,3806,1885.0,48.0,0.975168132436627,8998.349072517078,34247716.57,1797.0,2009.0,0.4721492380451918,44,Fear,Neutral,47.0,Neutral -> Fear,True,674403.995032,328.0,0.9375,8444.161189024391,0.5579268292682927,2769684.87
2024-03-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-7919.471032000002,730,224.0,39.0,0.8517110266159695,6219.798493150685,4540452.9,357.0,373.0,0.48904109589041095,84,Extreme Greed,Extreme Greed,81.0,Extreme Greed -> Extreme Greed,False,-7919.471032000002,,,,,
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-25991.506339,1309,434.0,63.0,0.8732394366197183,10190.317929717341,13339126.17,706.0,603.0,0.5393430099312452,50,Neutral,Neutral,51.0,Neutral -> Neutral,False,-33910.977371,730.0,0.8517110266159695,6219.798493150685,0.48904109589041095,4540452.9
2024-10-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,111230.498007,1703,559.0,77.0,0.8789308176100629,19645.16682912507,33455719.11,960.0,743.0,0.5637110980622431,74,Greed,Greed,72.0,Greed -> Greed,False,77319.520636,1309.0,0.8732394366197183,10190.317929717341,0.5393430099312452,13339126.17
2025-02-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,223968.37089299998,3737,1464.0,34.0,0.9773030707610146,20468.303636606903,76490050.69,2107.0,1630.0,0.5638212469895638,44,Fear,Neutral,47.0,Neutral -> Fear,True,309207.362561,1703.0,0.8789308176100629,19645.16682912507,0.5637110980622431,33455719.11
2024-10-27,0x513b8629fe877bb581bf244e326a047b249c4ff1,0.0,223,0.0,0.0,0.0,3261.5788789237668,727332.09,223.0,0.0,1.0,74,Greed,Greed,72.0,Greed -> Greed,False,0.0,,,,,
